player,position,team,projected_points,avg_ppg_3yr,adp,adp_stdev,times_drafted,bye,ppg_trend,points_2025,games_2025,points_2024,games_2024,points_2023,games_2023
Kenny Gainwell,RB,PHI,125.2,7.36,108.0,15.1,42,10,5.72,184.8,17,54.6,17,82.4,16
Juwan Johnson,TE,NO,124.9,7.35,149.0,20.1,25,8,2.22,141.4,17,97.8,15,79.3,13
Gus Edwards,RB,BAL,124.8,7.34,,,,,-10.65,0.0,0,62.6,11,181.0,17
Tory Horton,WR,SEA,124.5,7.32,,,,,7.32,58.6,8,0.0,0,0.0,0
Jordan Mason,RB,SF,124.1,7.3,112.7,15.2,146,6,4.92,121.9,16,109.5,12,43.2,16
Brian Robinson,RB,WAS,123.9,7.29,165.9,22.9,8,11,-8.57,58.5,17,149.8,14,180.1,15
Marquise Brown,WR,ARI,122.5,7.2,,,,,-1.32,113.2,16,13.6,2,109.2,13
Jalen McMillan,WR,TB,122.1,7.18,132.2,8.7,37,10,5.97,23.9,4,116.9,13,0.0,0
Dalton Schultz,TE,HOU,121.8,7.16,,,,,-0.03,136.7,17,91.7,17,121.0,15
Keon Coleman,WR,BUF,121.6,7.15,,,,,6.95,83.4,12,97.0,13,0.0,0
Mason Rudolph,QB,PIT,121.4,7.14,,,,,-6.89,15.0,5,95.8,8,39.6,4
Oronde Gadsden II,TE,LAC,121.2,7.13,,,,,7.13,106.9,15,0.0,0,0.0,0
Najee Harris,RB,PIT,121.0,7.12,,,,,-7.28,10.1,3,186.6,17,181.0,17
Davis Mills,QB,HOU,120.9,7.11,,,,,7.87,68.6,6,9.6,4,17.8,5
Michael Carter,RB,ARI,120.0,7.06,,,,,3.23,82.5,13,30.3,3,46.8,15
Michael Thomas,WR,NO,119.5,7.03,,,,,-7.03,0.0,0,0.0,0,70.3,10
Nick Chubb,RB,CLE,119.3,7.02,,,,,-5.1,81.8,15,60.8,8,21.1,2
T.J. Hockenson,TE,MIN,119.3,7.02,139.2,36.0,5,6,-5.61,87.3,15,66.0,10,171.5,15
Dillon Gabriel,QB,CLE,119.1,7.01,,,,,7.01,70.1,10,0.0,0,0.0,0
Bailey Zappe,QB,NE,118.5,6.97,,,,,-6.92,0.0,0,7.0,1,69.2,10
Luther Burden III,WR,CHI,118.3,6.96,51.3,5.8,77,10,6.96,104.4,15,0.0,0,0.0,0
Desmond Ridder,QB,ATL,116.4,6.85,,,,,-11.78,0.0,0,21.9,5,176.6,15
A.T. Perry,WR,NO,116.0,6.83,,,,,-6.83,0.0,0,0.0,0,54.6,8
Jalen Coker,WR,CAR,115.9,6.81,114.4,8.5,34,5,6.72,73.9,11,76.6,11,0.0,0
Tre Tucker,WR,LV,115.4,6.79,131.0,11.1,33,13,3.04,133.2,17,105.8,17,62.3,13
Pat Freiermuth,TE,PIT,114.4,6.73,,,,,0.68,93.1,15,137.8,17,60.8,11
Mike Williams,WR,LAC,114.4,6.73,,,,,-13.57,0.0,0,46.3,14,40.7,3
Adam Thielen,WR,CAR,113.6,6.68,,,,,-8.41,30.1,14,115.5,10,179.5,17
Cade Otton,TE,TB,113.3,6.67,,,,,0.59,92.7,15,111.1,14,95.0,17
Tyler Allgeier,RB,ATL,112.7,6.63,155.9,15.5,35,14,-0.74,116.0,17,99.7,17,128.6,17
Evan Engram,TE,JAX,111.8,6.57,,,,,-5.33,77.8,16,66.0,9,173.3,17
D.J. Montgomery,WR,IND,111.3,6.55,,,,,-6.55,0.0,0,0.0,0,13.1,2
Jawhar Jordan,RB,HOU,111.3,6.55,,,,,6.55,26.2,4,0.0,0,0.0,0
Taysom Hill,TE,NO,110.6,6.5,,,,,-5.15,36.3,13,90.8,8,127.0,16
Audric Estimé,RB,DEN,110.1,6.47,,,,,8.42,42.1,5,46.2,13,0.0,0
Andy Dalton,QB,CAR,109.4,6.44,,,,,-9.44,9.5,4,59.0,6,23.6,2
Troy Franklin,WR,DEN,109.3,6.43,,,,,8.51,144.6,17,53.1,16,0.0,0
Jonnu Smith,TE,ATL,109.1,6.42,,,,,-1.94,66.2,17,178.3,17,99.2,17
Jayden Higgins,WR,HOU,109.0,6.41,,,,,6.41,109.0,17,0.0,0,0.0,0
Kimani Vidal,RB,LAC,109.0,6.41,,,,,8.45,109.9,13,30.2,9,0.0,0
Tyler Higbee,TE,LA,108.6,6.39,,,,,0.19,58.6,10,22.6,3,85.0,15
Devin Singletary,RB,HOU,107.8,6.34,,,,,-3.09,99.8,17,86.1,15,152.3,17
Darnell Mooney,WR,CHI,107.5,6.32,,,,,-0.11,66.3,15,161.2,16,63.4,14
La'Mical Perine,RB,KC,106.2,6.25,,,,,-6.25,0.0,0,0.0,0,12.5,2
Kayshon Boutte,WR,NE,106.0,6.24,150.1,14.6,21,8,6.72,107.6,14,100.4,15,2.9,3
Devaughn Vele,WR,DEN,106.0,6.23,,,,,5.98,53.8,9,86.0,13,0.0,0
Logan Thomas,TE,WAS,105.5,6.21,,,,,-6.21,0.0,0,0.0,0,99.3,16
Riley Leonard,QB,IND,105.4,6.2,,,,,6.2,31.0,5,0.0,0,0.0,0
Theo Johnson,TE,NYG,104.7,6.16,,,,,7.02,105.3,15,53.6,11,0.0,0
Mitchell Trubisky,QB,PIT,104.5,6.15,,,,,-1.96,31.1,4,15.3,8,48.7,5
Chimere Dike,WR,TEN,104.1,6.12,,,,,6.12,104.1,17,0.0,0,0.0,0
Justice Hill,RB,BAL,103.5,6.09,,,,,-0.49,54.7,10,106.1,15,95.3,16
Christian Kirk,WR,JAX,103.3,6.08,,,,,-6.16,43.9,11,57.4,8,121.8,12
Sincere McCormick,RB,LV,102.8,6.05,,,,,0.0,0.0,0,24.2,4,0.0,0
Elic Ayomanor,WR,TEN,102.0,6.0,,,,,6.0,96.0,16,0.0,0,0.0,0
Darius Slayton,WR,NYG,101.8,5.99,,,,,-1.68,80.3,14,90.5,16,126.0,17
